w_anticipation,w_safety,ep_len_mean,ep_rew_mean,avg_speed,(empty),backward,collision,lap_complete,out_of_track,stuck,wall_pinned
0.0,0.5,454.3484848484849,4686.943268621211,12.993651655004063,1,0,26,0,8,32,0
0.0,1.0,463.4848484848485,3251.551950242424,9.152215039467249,1,3,10,0,14,38,1
0.0,1.5,615.6530612244898,9325.633574938774,17.582019734673835,1,1,1,0,4,43,0
0.0,2.0,479.3174603174603,4211.570495968254,11.160324355676009,1,3,2,0,7,50,1
0.15,0.5,626.4375,9163.0816741875,18.34621085869889,1,0,2,0,12,34,0
0.15,1.0,487.55555555555554,3568.7040239841267,9.294893546027007,0,1,3,0,5,54,0
0.15,1.5,579.0566037735849,6013.941084924529,12.349932446587486,0,2,4,0,1,46,0
0.15,2.0,519.8644067796611,6001.641823288135,14.11447715105975,0,0,11,0,13,34,1
0.3,0.5,597.78,6842.12033526,14.79662792730504,1,2,0,0,11,37,0
0.3,1.0,476.890625,4848.162330984374,12.813920039537614,1,1,4,0,12,47,0
0.3,1.5,503.0169491525424,5962.1603158644075,16.578899397186714,1,0,2,0,22,35,0
0.3,2.0,565.6792452830189,7095.993961981131,16.824273783205186,1,2,0,0,24,27,0
